name,owner,version,source,license,copyleft,notes
@azure/abort-controller,Microsoft Corporation,2.1.2,github:Azure/azure-sdk-for-js,MIT,no,
@azure/core-auth,Microsoft Corporation,1.10.1,github:Azure/azure-sdk-for-js,MIT,no,
@azure/core-client,Microsoft Corporation,1.10.1,github:Azure/azure-sdk-for-js,MIT,no,
@azure/core-http-compat,Microsoft Corporation,2.3.2,github:Azure/azure-sdk-for-js,MIT,no,
@azure/core-rest-pipeline,Microsoft Corporation,1.22.2,github:Azure/azure-sdk-for-js,MIT,no,
@azure/core-tracing,Microsoft Corporation,1.3.1,github:Azure/azure-sdk-for-js,MIT,no,
@azure/core-util,Microsoft Corporation,1.13.1,github:Azure/azure-sdk-for-js,MIT,no,
@azure/identity,Microsoft Corporation,4.13.0,github:Azure/azure-sdk-for-js,MIT,no,
@azure/logger,Microsoft Corporation,1.3.0,github:Azure/azure-sdk-for-js,MIT,no,
@azure/msal-browser,Microsoft,4.28.2,https://github.com/AzureAD/microsoft-authentication-library-for-js,MIT,no,
@azure/msal-common,Microsoft,14.16.1,https://github.com/AzureAD/microsoft-authentication-library-for-js,MIT,no,
@azure/msal-common,Microsoft,15.14.2,https://github.com/AzureAD/microsoft-authentication-library-for-js,MIT,no,
@azure/msal-node,Microsoft,2.16.3,https://github.com/AzureAD/microsoft-authentication-library-for-js,MIT,no,
@azure/msal-node,Microsoft,3.8.7,https://github.com/AzureAD/microsoft-authentication-library-for-js,MIT,no,
@cspotcode/source-map-support,@cspotcode,0.8.1,https://github.com/cspotcode/node-source-map-support,MIT,no,
@jridgewell/resolve-uri,Justin Ridgewell,3.1.2,https://github.com/jridgewell/resolve-uri,MIT,no,
@jridgewell/sourcemap-codec,Justin Ridgewell,1.5.5,https://github.com/jridgewell/sourcemaps,MIT,no,
@jridgewell/trace-mapping,Justin Ridgewell,0.3.9,https://github.com/jridgewell/trace-mapping,MIT,no,
@pinojs/redact,Matteo Collina,0.4.0,https://github.com/pinojs/redact,MIT,no,
@tsconfig/node10,@tsconfig,1.0.12,https://github.com/tsconfig/bases,MIT,no,
@tsconfig/node12,@tsconfig,1.0.11,https://github.com/tsconfig/bases,MIT,no,
@tsconfig/node14,@tsconfig,1.0.3,https://github.com/tsconfig/bases,MIT,no,
@tsconfig/node16,@tsconfig,1.0.4,https://github.com/tsconfig/bases,MIT,no,
@types/body-parser,@types,1.19.6,https://github.com/DefinitelyTyped/DefinitelyTyped,MIT,no,
@types/connect,@types,3.4.38,https://github.com/DefinitelyTyped/DefinitelyTyped,MIT,no,
@types/express,@types,5.0.6,https://github.com/DefinitelyTyped/DefinitelyTyped,MIT,no,
@types/express-serve-static-core,@types,5.1.1,https://github.com/DefinitelyTyped/DefinitelyTyped,MIT,no,
@types/http-errors,@types,2.0.5,https://github.com/DefinitelyTyped/DefinitelyTyped,MIT,no,
@types/jsonwebtoken,@types,9.0.6,https://github.com/DefinitelyTyped/DefinitelyTyped,MIT,no,
@types/node,@types,22.19.11,https://github.com/DefinitelyTyped/DefinitelyTyped,MIT,no,
@types/pg,@types,8.20.0,https://github.com/DefinitelyTyped/DefinitelyTyped,MIT,no,
@types/qs,@types,6.14.0,https://github.com/DefinitelyTyped/DefinitelyTyped,MIT,no,
@types/range-parser,@types,1.2.7,https://github.com/DefinitelyTyped/DefinitelyTyped,MIT,no,
@types/send,@types,1.2.1,https://github.com/DefinitelyTyped/DefinitelyTyped,MIT,no,
@types/serve-static,@types,2.2.0,https://github.com/DefinitelyTyped/DefinitelyTyped,MIT,no,
@types/ws,@types,6.0.4,https://github.com/DefinitelyTyped/DefinitelyTyped,MIT,no,
@typespec/ts-http-runtime,Microsoft Corporation,0.3.3,github:Azure/azure-sdk-for-js,MIT,no,
accepts,,1.3.8,jshttp/accepts,MIT,no,
acorn,Marijn Haverbeke,8.16.0,https://github.com/acornjs/acorn,MIT,no,
acorn-walk,Marijn Haverbeke,8.3.5,https://github.com/acornjs/acorn,MIT,no,
adaptivecards,AdaptiveCards,1.2.3,git://git@github.com/microsoft/AdaptiveCards,MIT,no,
agent-base,Nathan Rajlich,7.1.4,https://github.com/TooTallNate/proxy-agents,MIT,no,
arg,Josh Junon,4.1.3,zeit/arg,MIT,no,
array-flatten,Blake Embrey,1.1.1,git://github.com/blakeembrey/array-flatten,MIT,no,
asynckit,Alex Indigo,0.4.0,https://github.com/alexindigo/asynckit,MIT,no,
atomic-sleep,David Mark Clements (@davidmarkclem),1.0.0,https://github.com/davidmarkclements/atomic-sleep,MIT,no,
axios,Matt Zabriskie,1.13.5,https://github.com/axios/axios,MIT,no,
base64-js,T. Jameson Little,1.5.1,git://github.com/beatgammit/base64-js,MIT,no,
base64url,Brian J Brennan,3.0.1,git://github.com/brianloveswords/base64url,MIT,no,
body-parser,,1.20.4,expressjs/body-parser,MIT,no,
botbuilder,Microsoft Corp.,4.23.3,https://github.com/Microsoft/botbuilder-js,MIT,no,
botbuilder-core,Microsoft Corp.,4.23.3,https://github.com/Microsoft/botbuilder-js,MIT,no,
botbuilder-dialogs-adaptive-runtime-core,Microsoft Corp.,4.23.3-preview,https://github.com/Microsoft/botbuilder-js,MIT,no,
botbuilder-stdlib,Microsoft Corp.,4.23.3-internal,https://github.com/Microsoft/botbuilder-js,MIT,no,
botframework-connector,Microsoft Corp.,4.23.3,https://github.com/Microsoft/botbuilder-js,MIT,no,
botframework-schema,Microsoft Corp.,4.23.3,git@github.com:Microsoft/botbuilder-js,MIT,no,
botframework-streaming,Microsoft Corp.,4.23.3,https://github.com/microsoft/botbuilder-js,MIT,no,
buffer,Feross Aboukhadijeh,6.0.3,git://github.com/feross/buffer,MIT,no,
buffer-equal-constant-time,"GoInstant Inc., a salesforce.com company",1.0.1,git@github.com:goinstant/buffer-equal-constant-time.git,BSD-3-Clause,no,
bundle-name,Sindre Sorhus,4.1.0,sindresorhus/bundle-name,MIT,no,
bytes,TJ Holowaychuk,3.1.2,visionmedia/bytes.js,MIT,no,
call-bind-apply-helpers,Jordan Harband,1.0.2,https://github.com/ljharb/call-bind-apply-helpers,MIT,no,
call-bound,Jordan Harband,1.0.4,https://github.com/ljharb/call-bound,MIT,no,
colorette,Jorge Bucaran,2.0.20,jorgebucaran/colorette,MIT,no,
combined-stream,Felix Geisendörfer,1.0.8,git://github.com/felixge/node-combined-stream,MIT,no,
content-disposition,Douglas Christopher Wilson,0.5.4,jshttp/content-disposition,MIT,no,
content-type,Douglas Christopher Wilson,1.0.5,jshttp/content-type,MIT,no,
cookie,Roman Shtylman,0.7.2,jshttp/cookie,MIT,no,
cookie-signature,TJ Holowaychuk,1.0.7,https://github.com/visionmedia/node-cookie-signature,MIT,no,
create-require,,1.1.1,nuxt-contrib/create-require,MIT,no,
cross-fetch,Leonardo Quixada,4.1.0,https://github.com/lquixada/cross-fetch,MIT,no,
dateformat,Steven Levithan,4.6.3,https://github.com/felixge/node-dateformat,MIT,no,
dayjs,iamkun,1.11.19,https://github.com/iamkun/dayjs,MIT,no,
debug,TJ Holowaychuk,2.6.9,git://github.com/visionmedia/debug,MIT,no,
